0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415
194896,4422039,113909,147981,149614,195105,177061,313593,179472,125624,1076587,185570,330564,577406,149131,348642,148987,179659,198928,547223,563572,185988,179319,166637,325768,350091,335701,366727,181452,189998,197624,181003,184296,195081,189548,179807,181791,358333,299302,148279,1078587,2391105,179014,179209,696563,291794,576975,297529,178513,178699,361727,331912,326136,305318,348007,175751,369429,168071,364753,190529,352304,329313,352733,4451906,4472130,4194837,3141342,308072,358944,176077,368338,186614,145735,368117,259772,509416,353149,183457,357471,365891,189677,190260,365621,369822,313672,305016,314095,322835,332163,186592,193844,185034,186521,145575,174332,183207,189651,354461,196713,327969,176057,352243,309433,199388,130763,194660,191256,221784,338992,318569,314996,195808,177986,191112,537661,195203,3251419,362539,4045882,358939,366797,542096,368462,361108,784256,535601,182723,181834,368698,361845,175642,197326,3203801,216111,355424,187747,4331723,358112,183653,319455,4301511,198118,360890,308631,2442706,960695,292057,102222,509452,553352,586968,509149,509516,4359590,141350,586458,513500,929275,522025,316515,799884,4416763,537894,564914,4315958,968954,1076969,923098,98605,572843,1015143,1065569,368490,575557,369763,587933,755474,516022,145801,592616,181074,851715,539581,579851,548587,367215,851938,938948,4452538,4299137,4391542,4383963,4336943,4331760,107044,4476780,357046,367977,185420,180045,988375,495017,198866,180082,185604,578016,179157,4365130,564140,4304475,332317,180606,339599,305946,182874,4256470,174036,196769,364926,316761,187178,350277,197072,336012,352617,364903,352034,364029,577170,589277,186841,354850,183395,165118,328936,326482,560836,4295618,760967,851668,134265,769222,1007399,112891,194360,841635,2201995,405425,528421,470879,1110178,331697,3908639,566976,169182,995893,862115,4335776,968675,341460,2291414,359872,193829,182176,192963,593043,4451251,2985051,193279,188966,174755,288004,4336546,4393532,849361,232900,4426298,825808,69933,359098,4347159,553611,365385,72820,950909,414315,964220,1017181,4411138,4379034,866280,956625,12574,526682,951711,4428568,312882,505549,365628,176775,4397439,219064,124906,336228,4318284,258375,962249,114821,4318671,4310208,342427,511378,359750,1024529,4344883,182643,2157225,851704,1079742,1086889,14280,1053898,503406,925326,495396,503138,527988,214036,787663,3805726,216010,178183,345454,185952,534042,527485,532521,321096,531374,555945,551822,232828,258099,4468892,147969,188348,177800,544859,1983368,172233,304211,189035,798581,359950,2979308,362765,148121,180738,175619,207994,4460847,174924,192383,187404,181174,212532,187321,352918,4352760,370046,195757,318190,575844,187401,193240,193139,189733,196428,185787,369097,585227,348009,197111,362078,177134,177663,180468,365536,177319,325437,180659,540862,2283112,335550,212686,848915,310886,190518,190676,350255,177484,184795,173863,851865,147702,370287,367433,366068,2066056,184971,313968,353615,309720,180563,148352,357529
194896,4422039,113909,147981,149614,195105,177061,313593,179472,125624,1076587,185570,330564,577406,149131,348642,148987,179659,198928,547223,563572,185988,179319,166637,325768,350091,335701,366727,181452,189998,197624,181003,184296,195081,189548,179807,181791,358333,299302,148279,1078587,2391105,179014,179209,696563,291794,576975,297529,178513,178699,361727,331912,326136,305318,175751,348007,369429,168071,364753,190529,352304,329313,352733,4451906,4472130,4194837,3141342,308072,358944,176077,368338,187747,4331723,358112,183653,319455,4301511,198118,360890,308631,2442706,960695,292057,102222,509452,553352,586968,509149,509516,4359590,141350,586458,513500,929275,522025,316515,799884,4416763,537894,564914,4315958,968954,1076969,923098,98605,572843,1015143,1065569,368490,575557,369763,587933,755474,516022,145801,592616,181074,851715,539581,579851,548587,367215,851938,938948,4452538,4299137,4391542,4383963,4336943,4331760,107044,4476780,357046,367977,185420,180045,988375,495017,198866,180082,185604,578016,4365130,564140,179157,183395,165118,328936,326482,560836,4295618,760967,851668,134265,4304475,332317,180606,339599,305946,182874,4256470,174036,196769,364926,316761,187178,350277,197072,336012,352617,364903,352034,364029,577170,589277,186841,354850,769222,1007399,112891,194360,841635,2201995,405425,528421,470879,1110178,331697,3908639,566976,169182,995893,862115,4335776,968675,341460,2291414,359872,193829,182176,192963,593043,4451251,2985051,193279,188966,174755,288004,4336546,4393532,849361,232900,4426298,825808,69933,359098,4347159,553611,365385,72820,950909,414315,964220,1017181,4411138,4379034,866280,956625,12574,526682,951711,4428568,312882,505549,365628,176775,4397439,219064,124906,336228,4318284,258375,962249,4318671,114821,4310208,342427,511378,359750,1024529,4344883,182643,2157225,851704,1079742,495396,503138,1086889,14280,1053898,503406,925326,527988,214036,787663,3805726,216010,178183,345454,185952,534042,527485,532521,321096,531374,555945,551822,232828,258099,4468892,147969,188348,177800,544859,1983368,172233,304211,189035,798581,359950,2979308,362765,148121,180738,175619,207994,4460847,174924,192383,187404,181174,212532,187321,352918,4352760,370046,350255,177484,184795,173863,851865,147702,370287,367433,366068,2066056,184971,313968,353615,309720,195757,318190,575844,187401,193240,193139,189733,196428,185787,369097,585227,348009,197111,362078,177134,177663,180468,365536,177319,325437,180659,540862,2283112,335550,212686,848915,310886,190518,190676,180563,148352,357529,186614,145735,368117,259772,509416,353149,183457,357471,365891,189677,190260,365621,369822,313672,305016,314095,322835,332163,186592,193844,185034,186521,196713,327969,176057,145575,174332,183207,189651,354461,352243,309433,199388,130763,194660,191256,221784,338992,318569,314996,195808,177986,191112,537661,195203,3251419,362539,4045882,358939,366797,542096,368462,361108,784256,535601,182723,181834,368698,361845,175642,197326,3203801,216111,355424
194896,4422039,113909,147981,149614,195105,177061,313593,179472,125624,1076587,185570,330564,577406,149131,348642,148987,179659,198928,547223,563572,185988,179319,166637,325768,350091,335701,366727,181452,189998,197624,181003,184296,195081,189548,179807,181791,358333,299302,148279,1078587,2391105,179014,179209,696563,291794,576975,297529,178513,178699,361727,331912,326136,305318,348007,175751,369429,168071,364753,190529,352304,329313,352733,4451906,4472130,4194837,3141342,308072,358944,176077,368338,187747,4331723,358112,183653,319455,4301511,198118,360890,308631,2442706,960695,292057,102222,509452,553352,586968,509149,509516,4359590,141350,586458,513500,929275,522025,316515,799884,4416763,537894,564914,4315958,968954,1076969,923098,98605,572843,1015143,1065569,368490,575557,369763,587933,755474,516022,145801,592616,181074,851715,539581,579851,548587,367215,851938,312882,505549,365628,176775,4397439,219064,124906,336228,4318284,258375,962249,114821,4318671,4310208,342427,511378,359750,1024529,4344883,182643,2157225,851704,1079742,495396,503138,1086889,14280,1053898,503406,925326,527988,214036,787663,3805726,216010,178183,345454,185952,534042,527485,532521,321096,531374,555945,551822,232828,258099,4468892,147969,188348,177800,544859,1983368,172233,304211,189035,798581,359950,2979308,362765,148121,180738,175619,207994,4460847,174924,192383,187404,181174,212532,187321,352918,4352760,370046,350255,177484,184795,173863,851865,147702,370287,367433,366068,2066056,184971,313968,353615,309720,195757,318190,575844,187401,193240,193139,189733,196428,185787,369097,585227,348009,197111,362078,177134,177663,180468,365536,177319,325437,180659,540862,2283112,335550,212686,848915,310886,190518,190676,180563,148352,357529,186614,145735,368117,259772,509416,353149,183457,357471,365891,189677,190260,365621,369822,313672,305016,314095,322835,332163,186592,193844,185034,186521,145575,174332,183207,189651,354461,196713,327969,176057,352243,309433,199388,130763,194660,191256,221784,338992,318569,314996,195808,177986,191112,537661,195203,3251419,362539,4045882,358939,366797,542096,368462,361108,784256,535601,182723,181834,368698,361845,175642,197326,3203801,216111,355424,938948,4452538,4299137,4391542,4383963,4336943,4331760,107044,4476780,357046,367977,185420,180045,988375,495017,198866,180082,185604,578016,179157,4365130,564140,183395,165118,328936,326482,560836,4295618,760967,851668,134265,4304475,332317,180606,339599,305946,182874,4256470,174036,196769,364926,316761,187178,350277,197072,336012,352617,364903,352034,364029,577170,589277,186841,354850,769222,1007399,112891,194360,841635,2201995,405425,528421,470879,1110178,331697,3908639,566976,169182,995893,862115,4335776,968675,341460,2291414,359872,193829,182176,192963,593043,4451251,2985051,193279,188966,174755,288004,4336546,4393532,849361,232900,4426298,825808,69933,359098,4347159,553611,365385,72820,950909,414315,964220,1017181,4411138,4379034,866280,956625,12574,526682,951711,4428568
194896,4422039,113909,147981,149614,195105,177061,313593,179472,125624,1076587,185570,330564,577406,149131,348642,148987,179659,198928,547223,563572,185988,179319,166637,325768,350091,335701,366727,181452,189998,197624,181003,184296,195081,189548,179807,181791,358333,299302,148279,1078587,2391105,179014,179209,696563,291794,576975,297529,178513,178699,361727,331912,326136,305318,348007,175751,369429,168071,364753,190529,352304,329313,352733,4451906,4472130,4194837,3141342,308072,358944,176077,368338,187747,4331723,358112,183653,319455,4301511,198118,360890,308631,2442706,359750,1024529,4344883,182643,2157225,232828,258099,4468892,147969,188348,177800,544859,1983368,172233,304211,189035,798581,359950,2979308,362765,148121,180738,175619,207994,4460847,174924,192383,187404,181174,212532,187321,352918,4352760,370046,350255,177484,184795,173863,851865,147702,370287,367433,366068,2066056,184971,313968,353615,309720,195757,318190,575844,187401,193240,193139,189733,196428,185787,369097,585227,348009,197111,362078,177134,177663,180468,365536,177319,325437,180659,540862,2283112,335550,212686,848915,310886,190518,190676,180563,148352,357529,186614,145735,368117,259772,509416,353149,183457,357471,365891,189677,190260,365621,369822,313672,305016,314095,322835,332163,186592,193844,185034,186521,145575,174332,183207,189651,354461,196713,327969,176057,352243,309433,199388,130763,194660,191256,221784,338992,318569,314996,195808,177986,191112,537661,195203,3251419,362539,4045882,358939,366797,542096,368462,361108,784256,535601,182723,181834,368698,361845,175642,197326,3203801,216111,355424,960695,292057,102222,509452,553352,586968,509149,509516,4359590,141350,586458,513500,929275,522025,316515,799884,4416763,537894,564914,4315958,968954,1076969,923098,98605,572843,1015143,1065569,368490,575557,369763,587933,755474,516022,145801,592616,181074,851715,539581,579851,548587,367215,851938,938948,4452538,4299137,4391542,4383963,4336943,4331760,107044,4476780,357046,367977,185420,180045,495017,198866,180082,185604,578016,179157,4365130,564140,183395,165118,328936,326482,560836,4295618,760967,851668,134265,4304475,332317,180606,339599,305946,182874,4256470,174036,196769,364926,316761,187178,350277,197072,336012,352617,364903,352034,364029,577170,589277,186841,354850,988375,769222,1007399,112891,194360,841635,2201995,405425,528421,470879,1110178,331697,3908639,566976,169182,995893,862115,4335776,968675,341460,2291414,359872,193829,182176,192963,593043,4451251,2985051,193279,188966,174755,288004,4336546,4393532,849361,232900,4426298,825808,69933,359098,4347159,553611,365385,72820,950909,414315,964220,1017181,4411138,4379034,866280,956625,12574,526682,951711,4428568,312882,505549,365628,176775,4397439,219064,124906,336228,4318284,258375,962249,114821,4318671,4310208,342427,511378,851704,1079742,495396,503138,1086889,14280,1053898,503406,925326,527988,214036,787663,3805726,216010,178183,345454,185952,534042,527485,532521,321096,531374,555945,551822
