Kingdom,Phylum,Class,Order,Family,Genus,Species
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__Burkholderiales_597631;,f__Unclassified;,g__Unclassified;,MJ031-2-barcode67-umi442bins-ubs-537
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__Methylococcales;,f__Methylomonadaceae;,g__KS41;,MJ031-2-barcode67-umi4382bins-ubs-95
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__Methylococcales;,f__Methylomonadaceae;,g__KS41;,MJ031-2-barcode67-umi44363bins-ubs-4
k__Bacteria;,p__Bacteroidota;,c__Bacteroidia;,o__Chitinophagales;,f__Chitinophagaceae_966727;,g__Dinghuibacter;,MJ031-2-barcode67-umi4595bins-ubs-93
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__Methylococcales;,f__Methylomonadaceae;,g__KS41;,MJ031-2-barcode67-umi44000bins-ubs-5
k__Bacteria;,p__Desulfobacterota_G_459544;,c__WTBG01;,o__CAIYCZ01;,f__CAIYCZ01;,g__DSVK01;,MJ031-2-barcode67-umi45930bins-ubs-4
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__Burkholderiales_597441;,f__Chitinibacteraceae;,g__Deefgea;,MJ031-2-barcode67-umi436bins-ubs-534
k__Bacteria;,p__Proteobacteria;,c__Gammaproteobacteria;,o__Burkholderiales_597441;,f__Gallionellaceae;,g__39-52-133;,MJ031-2-barcode67-umi43796bins-ubs-5
k__Bacteria;,p__Nitrospirota_A_437815;,c__Thermodesulfovibrionia;,o__Thermodesulfovibrionales;,f__SM23-35;,g__0-14-3-00-41-53;,MJ031-2-barcode67-umi44563bins-ubs-4
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Peptostreptococcales;,f__Peptostreptococcaceae_256921;,g__Unclassified;,MJ031-2-barcode67-umi4434bins-ubs-93
k__Bacteria;,p__Bacteroidota;,c__Ignavibacteria;,o__SJA-28;,f__B-1AR;,g__UBA2330;,MJ031-2-barcode67-umi43515bins-ubs-6
k__Bacteria;,p__Firmicutes_A;,c__Clostridia_258483;,o__Clostridiales;,f__Clostridiaceae_222000;,g__Clostridium_J;,MJ031-2-barcode67-umi43601bins-ubs-6
k__Bacteria;,p__Bacteroidota;,c__Bacteroidia;,o__Bacteroidales;,f__VadinHA17_877549;,g__Unclassified;,MJ031-2-barcode67-umi42974bins-ubs-5
k__Bacteria;,p__Firmicutes_D;,c__Bacilli;,o__Haloplasmatales_A;,f__Turicibacteraceae;,g__Turicibacter;,MJ031-2-barcode67-umi45586bins-ubs-4
