Kingdom,Phylum,Class,Order,Family,Genus,Species
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Calidifontimicrobium,s__Calidifontimicrobium_sediminis
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_oricebi
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Devosiaceae,g__Pelagibacterium,s__Pelagibacterium_luteolum
k__Bacteria,p__Fibrobacteres,c__Fibrobacteria,o__Fibrobacterales,f__Fibrobacteraceae,g__Hallerella,s__Hallerella_SGB36342
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Rhizobiaceae,g__GGB7699,s__GGB7699_SGB11380
k__Bacteria,p__Verrucomicrobia,c__CFGB4299,o__OFGB4299,f__FGB4299,g__GGB12670,s__GGB12670_SGB19659
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Agitococcus,s__Agitococcus_lubricus
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium_genitalium
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus_sp_P16_2019
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Brevibacteriaceae,g__Brevibacterium,s__Brevibacterium_jeotgali
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriales_Family_XIII_Incertae_Sedis,g__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,s__Clostridiales_Family_XIII_bacterium_BX16
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Micrococcaceae,g__GGB42949,s__GGB42949_SGB43520
k__Bacteria,p__Candidatus_Saccharibacteria,c__CFGB35908,o__OFGB35908,f__FGB35908,g__GGB59996,s__GGB59996_SGB81891
k__Bacteria,p__Acidobacteria,c__Acidobacteria_unclassified,o__Acidobacteria_unclassified,f__Acidobacteria_unclassified,g__Acidobacteria_unclassified,s__Acidobacteria_bacterium
k__Bacteria,p__Candidatus_Saccharibacteria,c__CFGB11265,o__OFGB11265,f__FGB11265,g__GGB62000,s__GGB62000_SGB84136
k__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__GGB27184,s__GGB27184_SGB39403
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Microbulbiferaceae,g__Microbulbifer,s__Microbulbifer_harenosus
k__Bacteria,p__Bacteroidetes,c__Chitinophagia,o__Chitinophagales,f__Chitinophagaceae,g__Niabella,s__Niabella_aurantiaca
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes_sp_AF17_16
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Roseobacteraceae,g__Sulfitobacter,s__Sulfitobacter_pseudonitzschiae
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Erythrobacteraceae,g__Croceicoccus,s__Croceicoccus_bisphenolivorans
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae,g__Nitrosococcus,s__Nitrosococcus_oceani
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Conservatibacter,s__Conservatibacter_flavescens
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Microbacteriaceae,g__Subtercola,s__Subtercola_frigoramans
k__Bacteria,p__Firmicutes,c__CFGB76779,o__OFGB76779,f__FGB76779,g__GGB33544,s__GGB33544_SGB53490
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Phyllobacteriaceae,g__Mesorhizobium,s__Mesorhizobium_sp_YM1C_6_2
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_entomophila
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Cupriavidus,s__Cupriavidus_sp_LEh25
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__GGB28849,s__GGB28849_SGB41516
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Piscirickettsiaceae,g__Piscirickettsiaceae_unclassified,s__Piscirickettsiaceae_bacterium_NZ_RLO1
k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Polaribacter,s__Polaribacter_gangjinensis
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,s__Paenibacillus_oralis
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_fluorescens
k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Haloferacaceae,g__Haloprofundus,s__Haloprofundus_marisrubri
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__GGB9747,s__GGB9747_SGB15354
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Roseobacteraceae,g__Salipiger,s__Salipiger_abyssi
k__Bacteria,p__Firmicutes,c__CFGB8240,o__OFGB8240,f__FGB8240,g__GGB25267,s__GGB25267_SGB37203
k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Cetobacterium,s__Cetobacterium_sp_ZOR0034
k__Bacteria,p__Atribacterota,c__CFGB8897,o__OFGB8897,f__FGB8897,g__GGB26668,s__GGB26668_SGB38849
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Corynebacteriales,f__Nocardiaceae,g__Rhodococcus,s__Rhodococcus_xishaensis
k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter,s__Helicobacter_sp_12S02634_8
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Erwiniaceae,g__Pantoea,s__Pantoea_sp_BAV_3049
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Aquimonas,s__Aquimonas_voraii
k__Bacteria,p__Cyanobacteria,c__Cyanobacteria_unclassified,o__Pseudanabaenales,f__Leptolyngbyaceae,g__Leptolyngbya,s__Leptolyngbya_sp_NIES_2104
k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__Flavobacterium_fontis
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Boudabousia,s__Boudabousia_tangfeifanii
k__Bacteria,p__Firmicutes,c__CFGB11073,o__OFGB11073,f__FGB11073,g__GGB33016,s__GGB33016_SGB48728
k__Bacteria,p__Firmicutes,c__CFGB8063,o__OFGB8063,f__FGB8063,g__GGB24947,s__GGB24947_SGB36860
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_vespertina
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces_klenkii
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Rhizobiaceae,g__Rhizobium,s__Rhizobium_rosettiformans
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_sp_tf2_5
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Pleioneaceae,g__Aliikangiella,s__Aliikangiella_marina
k__Bacteria,p__Cyanobacteria,c__Cyanobacteria_unclassified,o__Nostocales,f__Nostocaceae,g__Nostoc,s__Nostoc_edaphicum
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Enterobacter,s__Enterobacter_sp_CC120223_11
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_sp_PDNC002
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__GGB1331,s__GGB1331_SGB1788
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_unclassified,f__Gammaproteobacteria_unclassified,g__GGB67532,s__GGB67532_SGB91328
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Microbacteriaceae,g__Microbacterium,s__Microbacterium_pseudoresistens
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__GGB3213,s__GGB3213_SGB4245
k__Bacteria,p__Firmicutes,c__CFGB26759,o__OFGB26759,f__FGB26759,g__GGB42270,s__GGB42270_SGB59430
k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Massilimicrobiota,s__Massilimicrobiota_sp_An134
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Moraxellales,f__Moraxellaceae,g__Moraxella,s__Moraxella_canis
k__Bacteria,p__Proteobacteria,c__CFGB3433,o__OFGB3433,f__FGB3433,g__GGB80138,s__GGB80138_SGB91191
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_sp_GV085
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Zoogloeaceae,g__Azoarcus,s__Azoarcus_olearius
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Corynebacteriales,f__Gordoniaceae,g__Skermania,s__Skermania_sp_ID1734
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Nonomuraea,s__Nonomuraea_zeae
k__Bacteria,p__Planctomycetes,c__CFGB25759,o__OFGB25759,f__FGB25759,g__GGB45145,s__GGB45145_SGB62659
k__Bacteria,p__Firmicutes,c__CFGB1814,o__OFGB1814,f__FGB1814,g__GGB75900,s__GGB75900_SGB102322
k__Bacteria,p__Proteobacteria,c__CFGB37757,o__OFGB37757,f__FGB37757,g__GGB40383,s__GGB40383_SGB91377
k__Bacteria,p__Firmicutes,c__CFGB9100,o__OFGB9100,f__FGB9100,g__GGB31296,s__GGB31296_SGB44604
k__Bacteria,p__Fibrobacteres,c__Fibrobacteria,o__Fibrobacterales,f__Fibrobacteraceae,g__Fibrobacter,s__Fibrobacter_sp_UWEL
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium_sp_NAZ190054
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Tistrella,s__Tistrella_bauzanensis
k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cyclobacteriaceae,g__Algoriphagus,s__Algoriphagus_hitonicola
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Caenispirillum,s__Caenispirillum_salinarum
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Ferrimonadaceae,g__Paraferrimonas,s__Paraferrimonas_sp_SM1919
k__Bacteria,p__Proteobacteria,c__CFGB76526,o__OFGB76526,f__FGB76526,g__GGB45096,s__GGB45096_SGB62607
k__Bacteria,p__Firmicutes,c__CFGB4967,o__OFGB4967,f__FGB4967,g__GGB49400,s__GGB49400_SGB69312
k__Bacteria,p__Cyanobacteria,c__Cyanobacteria_unclassified,o__Synechococcales,f__Synechococcaceae,g__Synechococcus,s__Synechococcus_sp_63AY4M1
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__GGB3583,s__GGB3583_SGB21441
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Paracoccus,s__Paracoccus_sp_J39
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Cellulomonadaceae,g__Cellulomonas,s__Cellulomonas_telluris
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_amylovorus
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__GGB25571,s__GGB25571_SGB37539
k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__Flavobacterium_sp_ACN2
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Microbacteriaceae,g__Cryobacterium,s__Cryobacterium_sp_Sr39
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium,s__Novosphingobium_resinovorum
k__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Roseiflexaceae,g__Roseiflexus,s__Roseiflexus_castenholzii
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Roseobacteraceae,g__Sulfitobacter,s__Sulfitobacter_geojensis
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_furukawaii
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Roseobacteraceae,g__Marinovum,s__Marinovum_algicola
k__Bacteria,p__Planctomycetes,c__CFGB8660,o__OFGB8660,f__FGB8660,g__GGB26102,s__GGB26102_SGB53017
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Xanthomonas,s__Xanthomonas_phaseoli
k__Bacteria,p__Candidatus_Melainabacteria,c__CFGB2104,o__OFGB2104,f__FGB2104,g__GGB5994,s__GGB5994_SGB8617
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Bartonellaceae,g__Bartonella,s__Bartonella_apis
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,s__Paenibacillus_paridis
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__Enterococcus_sp_12C11_DIV0727
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Rhodobacteraceae_unclassified,s__Rhodobacteraceae_bacterium_Alg231_04
k__Bacteria,p__Deinococcus_Thermus,c__Deinococci,o__Thermales,f__Thermaceae,g__Thermus,s__Thermus_sediminis
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_sp_ZJ373
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Roseobacteraceae,g__Sulfitobacter,s__Sulfitobacter_mediterraneus
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Devosiaceae,g__Devosia,s__Devosia_sp_LC5
k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Pirellulales,f__Pirellulaceae,g__Stieleria,s__Stieleria_neptunia
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Arcanobacterium,s__Arcanobacterium_ihumii
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriaceae,g__Eubacterium,s__Eubacterium_sp_An11
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__Clostridiaceae_unclassified,s__Clostridiaceae_unclassified_SGB39316
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Roseobacteraceae,g__Primorskyibacter,s__Primorskyibacter_sp_XY_301
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Phyllobacteriaceae,g__Mesorhizobium,s__Mesorhizobium_sp_NBSH29
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Ottowia,s__Ottowia_oryzae
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Peptococcaceae,g__Desulfitobacterium,s__Desulfitobacterium_dehalogenans
k__Bacteria,p__Firmicutes,c__CFGB8287,o__OFGB8287,f__FGB8287,g__GGB25377,s__GGB25377_SGB37325
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__Acetobacter,s__Acetobacter_pomorum
k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__Anaerococcus_sp_Marseille_P3625
k__Bacteria,p__Firmicutes,c__CFGB28820,o__OFGB28820,f__FGB28820,g__GGB28817,s__GGB28817_SGB41472
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Collimonas,s__Collimonas_fungivorans
k__Bacteria,p__Firmicutes,c__CFGB76072,o__OFGB76072,f__FGB76072,g__GGB28944,s__GGB28944_SGB41648
k__Bacteria,p__Bacteroidetes,c__Chitinophagia,o__Chitinophagales,f__Chitinophagaceae,g__Chitinophaga,s__Chitinophaga_dinghuensis
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__Klebsiella_michiganensis
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Brucellaceae,g__Mycoplana,s__Mycoplana_dimorpha
k__Bacteria,p__Chlorobi,c__Chlorobia,o__Chlorobiales,f__Chlorobiaceae,g__Pelodictyon,s__Pelodictyon_luteolum
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Hyphomicrobiales_unclassified,g__Hyphomicrobiales_unclassified,s__Hyphomicrobiales_bacterium
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Phyllobacteriaceae,g__Oceaniradius,s__Oceaniradius_stylonematis
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Mangrovicoccus,s__Mangrovicoccus_ximenensis
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Comamonas,s__Comamonas_sp_BIGb0124
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Xanthomonas,s__Xanthomonas_vesicatoria
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_unclassified,f__Gammaproteobacteria_unclassified,g__Gammaproteobacteria_unclassified,s__Gammaproteobacteria_unclassified_SGB57845
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Noviherbaspirillum,s__Noviherbaspirillum_pedocola
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Oceanobacillus,s__Oceanobacillus_halophilus
k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter,s__Helicobacter_trogontum
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas_sp_BK580
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Pararhodobacter,s__Pararhodobacter_sp_SW119
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Umezawaea,s__Umezawaea_tangerina
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_caecimuris
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Orbales,f__Orbaceae,g__Gilliamella,s__Gilliamella_apicola
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Eubacteriales_unclassified,g__Neofamilia,s__Neofamilia_massiliensis
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Marinobacteraceae,g__Mangrovitalea,s__Mangrovitalea_sediminis
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Polynucleobacter,s__Polynucleobacter_sp_MG_Unter2_18
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Clostridiaceae,g__GGB27106,s__GGB27106_SGB45239
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__Nocardioides_sp
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Microbacteriaceae,g__Microbacterium,s__Microbacterium_sp_XT11
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus_sp_KACC_19320
k__Bacteria,p__Candidatus_Melainabacteria,c__CFGB2107,o__OFGB2107,f__FGB2107,g__GGB31087,s__GGB31087_SGB44357
k__Bacteria,p__Deinococcus_Thermus,c__Deinococci,o__Thermales,f__Thermaceae,g__Thermus,s__Thermus_antranikianii
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Rhizobiaceae,g__Ciceribacter,s__Ciceribacter_thiooxidans
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_sp_Fl4BN1
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__Commensalibacter,s__Commensalibacter_sp_MX01
k__Bacteria,p__Tenericutes,c__Mollicutes,o__Mycoplasmatales,f__Mycoplasmataceae,g__Mycoplasma,s__Mycoplasma_marinum
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Gallalistipes,s__Gallalistipes_aquisgranensis
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Micrococcaceae,g__GGB71783,s__GGB71783_SGB98756
k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halorhabdus,s__Halorhabdus_rudnickae
k__Bacteria,p__Firmicutes,c__CFGB76784,o__OFGB76784,f__FGB76784,g__GGB9690,s__GGB9690_SGB15195
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Chromobacteriaceae,g__Paludibacterium,s__Paludibacterium_yongneupense
k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__Flavobacterium_endoglycinae
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__Gluconobacter,s__Gluconobacter_frateurii
k__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Acidianus,s__Acidianus_hospitalis
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Microbacteriaceae,g__Microbacterium,s__Microbacterium_sp_TNHR37B
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Propionibacteriales,f__Propionibacteriaceae,g__Arachnia,s__Arachnia_rubra
k__Bacteria,p__Bacteroidetes,c__Chitinophagia,o__Chitinophagales,f__Chitinophagaceae,g__Arachidicoccus,s__Arachidicoccus_ginsenosidivorans
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Halieaceae,g__Haliea,s__Haliea_alexandrii
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_sp_SDI
k__Bacteria,p__Firmicutes,c__CFGB8341,o__OFGB8341,f__FGB8341,g__GGB29578,s__GGB29578_SGB42378
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Xanthomonas,s__Xanthomonas_translucens
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Pasteurella,s__Pasteurella_testudinis
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Pelagibacterales,f__Pelagibacteraceae,g__GGB49141,s__GGB49141_SGB68796
k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Siansivirga,s__Siansivirga_zeaxanthinifaciens
k__Bacteria,p__Firmicutes,c__CFGB2905,o__OFGB2905,f__FGB2905,g__GGB9224,s__GGB9224_SGB14165
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Ureibacillus,s__Ureibacillus_chungkukjangi
k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Cryomorphaceae,g__Acidiluteibacter,s__Acidiluteibacter_ferrifornacis
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Oceanobacillus,s__Oceanobacillus_oncorhynchi
k__Bacteria,p__Firmicutes,c__CFGB30328,o__OFGB30328,f__FGB30328,g__GGB25328,s__GGB25328_SGB37266
k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella_SGB485
k__Bacteria,p__Tenericutes,c__Mollicutes,o__Mycoplasmatales,f__Mycoplasmataceae,g__Mycoplasma,s__Mycoplasma_hyosynoviae
k__Bacteria,p__Thermotogae,c__Thermotogae,o__Thermotogales,f__Fervidobacteriaceae,g__Thermosipho,s__Thermosipho_affectus
k__Bacteria,p__Firmicutes,c__CFGB76355,o__OFGB76355,f__FGB76355,g__GGB28418,s__GGB28418_SGB41001
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Paraburkholderia,s__Paraburkholderia_sp_Tr_20389
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Oscillibacter,s__Oscillibacter_SGB43505
k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Brachyspirales,f__Brachyspiraceae,g__Brachyspira,s__Brachyspira_sp_G79
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Kaistiaceae,g__Kaistia,s__Kaistia_sp_32K
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Marinobacteraceae,g__Marinobacter,s__Marinobacter_fonticola
k__Bacteria,p__Nitrospinae,c__CFGB35647,o__OFGB35647,f__FGB35647,g__GGB41098,s__GGB41098_SGB51922
