Kingdom,Phylum,Class,Order,Family,Genus,Species
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Maricaulales,f__Maricaulaceae,g__Marinicauda,s__Marinicauda_salina
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces_mutabilis
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Fictibacillus,s__Fictibacillus_barbaricus
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Microbacteriaceae,g__Cryobacterium,s__Cryobacterium_sp_MDB2_B
k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Lachnospiraceae,g__Lachnospiraceae_unclassified,s__Lachnospiraceae_bacterium_C10
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Peribacillus,s__Peribacillus_simplex
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Rhodoferax,s__Rhodoferax_sediminis
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pectobacteriaceae,g__Pectobacterium,s__Pectobacterium_punjabense
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Alloprevotella,s__Alloprevotella_SGB1483
k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellia_unclassified,f__Tissierellia_unclassified,g__Sedimentibacter,s__Sedimentibacter_sp_zth1
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Azospirillaceae,g__Azospirillum,s__Azospirillum_sp_RU38E
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces_nigra
k__Bacteria,p__Bacteroidetes,c__CFGB7552,o__OFGB7552,f__FGB7552,g__GGB24085,s__GGB24085_SGB35876
k__Bacteria,p__Tenericutes,c__Mollicutes,o__Acholeplasmatales,f__Acholeplasmataceae,g__Acholeplasma,s__Acholeplasma_oculi
k__Bacteria,p__Firmicutes,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__GGB4238,s__GGB4238_SGB5730
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces_tyrosinilyticus
k__Bacteria,p__Bacteroidetes,c__CFGB11625,o__OFGB11625,f__FGB11625,g__GGB34012,s__GGB34012_SGB66860
k__Bacteria,p__Proteobacteria,c__CFGB37578,o__OFGB37578,f__FGB37578,g__GGB44365,s__GGB44365_SGB61776
k__Bacteria,p__Bacteroidetes,c__Saprospiria,o__Saprospirales,f__Lewinellaceae,g__Lewinella,s__Lewinella_lacunae
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Rossellomorea,s__Rossellomorea_aquimaris
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Oryzisolibacter,s__Oryzisolibacter_propanilivorax
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Phyllobacteriaceae,g__Pseudaminobacter,s__Pseudaminobacter_manganicus
k__Bacteria,p__Actinobacteria,c__Actinomycetia,o__Micrococcales,f__Microbacteriaceae,g__Agromyces,s__Agromyces_sp_G127AT
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Hyphomicrobiales,f__Hyphomicrobiales_unclassified,g__Hyphomicrobiales_unclassified,s__Hyphomicrobiales_bacterium
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Citromicrobium,s__Citromicrobium_SGB11498
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Pelagibacterales,f__Pelagibacteraceae,g__Pelagibacteraceae_unclassified,s__Pelagibacteraceae_bacterium_AG_404_P08
k__Bacteria,p__Firmicutes,c__Clostridia,o__Thermoanaerobacterales,f__Thermoanaerobacteraceae,g__Caldanaerobacter,s__Caldanaerobacter_subterraneus
k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Halorubraceae,g__Halorubrum,s__Halorubrum_alkaliphilum
